Rank,State,"Per capita
income","Median
household
income","Median
family
income",Population,"Number of
households","Number of
families"
,District of Columbia,"$45,877","$71,648","$84,094",658893,277378,117864
1,Connecticut,"$39,373","$70,048","$88,819",3596677,1355817,887263
2,New Jersey,"$37,288","$69,160","$87,951",8938175,2549336,1610581
3,Massachusetts,"$36,593","$71,919","$88,419",6938608,3194844,2203675
4,Maryland,"$36,338","$73,971","$89,678",5976407,2165438,1445972
5,New Hampshire,"$34,691","$66,532","$80,581",1326813,519756,345901
6,Virginia,"$34,052","$64,902","$78,290",8326289,3083820,2058820
7,New York,"$33,095","$58,878","$71,115",19746227,7282398,4621954
8,North Dakota,"$33,071","$59,029","$75,221",739482,305431,187800
9,Alaska,"$33,062","$71,583","$82,307",736732,249659,165015
10,Minnesota,"$32,638","$61,481","$77,941",5457173,2129195,1369594
11,Colorado,"$32,357","$61,303","$75,405",5355866,2039592,1315283
12,Washington,"$31,841","$61,366","$74,193",7061530,2679601,1725099
13,Rhode Island,"$30,830","$54,891","$71,212",1055173,409654,257165
14,Delaware,"$30,488","$59,716","$72,594",935614,349743,233000
15,California,"$30,441","$61,933","$71,015",38802500,12758648,8762059
16,Illinois,"$30,417","$57,444","$71,796",12880580,4772421,3099184
17,Hawaii,"$29,736","$69,592","$79,187",1419561,450769,314151
18,Wyoming,"$29,698","$57,055","$72,460",584153,232594,149032
19,Pennsylvania,"$29,220","$53,234","$67,876",12787209,4945972,3185054
20,Vermont,"$29,178","$54,166","$67,154",626562,257229,162017
,United States,"$28,889","$53,657","$65,910",318857056,117259427,77152072
21,Iowa,"$28,361","$53,712","$67,771",3107126,1241471,801562
22,Wisconsin,"$28,213","$52,622","$67,187",5757564,2307685,1485877
23,Maine,"$27,978","$49,462","$62,078",1330089,549841,344585
24,Kansas,"$27,870","$52,504","$66,425",2904021,1109280,728602
25,Oregon,"$27,646","$51,075","$62,670",3970239,1535511,966250
26,Nebraska,"$27,446","$52,686","$66,120",1881503,740765,480317
27,Texas,"$27,125","$53,035","$62,830",26956958,9277197,6407165
28,South Dakota,"$26,959","$50,979","$66,936",853175,334475,211235
29,Ohio,"$26,937","$49,308","$62,300",11594163,4593172,2923523
30,Michigan,"$26,613","$49,847","$62,143",9909877,3834574,2485159
31,Florida,"$26,582","$47,463","$57,212",19893297,7328046,4693411
32,Missouri,"$26,126","$48,363","$61,299",6063589,2354809,1508816
33,Montana,"$25,989","$46,328","$60,643",1023579,410962,251176
34,North Carolina,"$25,774","$46,556","$57,380",9943964,3790620,2492048
35,Nevada,"$25,773","$51,450","$60,824",2839099,1021519,642461
36,Arizona,"$25,715","$50,068","$59,700",6731484,2428743,1579481
37,Georgia,"$25,615","$49,321","$58,885",10097343,3587521,2426392
38,Oklahoma,"$25,229","$47,529","$58,710",3878051,1459759,966516
39,Indiana,"$25,140","$49,446","$60,780",6596855,2502739,1657223
40,Tennessee,"$24,922","$44,361","$55,557",6549352,2509665,1660344
41,Utah,"$24,877","$60,922","$69,535",2942902,918370,691495
42,Louisiana,"$24,800","$44,555","$56,573",4649676,1718194,1112659
43,South Carolina,"$24,596","$45,238","$56,491",4832482,1826914,1201616
44,Idaho,"$23,938","$47,861","$58,101",1634464,591587,407499
45,Kentucky,"$23,684","$42,958","$54,776",4413457,1712094,1124586
46,New Mexico,"$23,683","$44,803","$54,705",2085572,760916,489532
47,Alabama,"$23,606","$42,830","$53,764",4849377,1841217,1232515
48,Arkansas,"$22,883","$41,262","$51,528",2966369,1131288,752212
49,West Virginia,"$22,714","$41,059","$52,413",1850326,735375,472869
50,Mississippi,"$21,036","$39,680","$50,178",2994079,1095823,738463
,Puerto Rico,"$11,241","$18,928","$22,477",3548397,1233490,867505
