State,"Critical
Reading",Mathematics,Writing,Combined
Alabama,544,534,530,1608
Alaska,508,505,482,1495
Arizona,521,528,502,1551
Arkansas,572,570,555,1697
California,498,512,495,1505
Colorado,578,581,562,1721
Connecticut,508,512,512,1532
Delaware,451,457,443,1351
District of Columbia,473,466,461,1400
Florida,492,490,475,1457
Georgia,490,487,475,1452
Hawaii,481,504,468,1453
Idaho,454,459,451,1364
Illinois,600,617,590,1807
Indiana,493,500,477,1470
Iowa,592,601,570,1763
Kansas,589,595,568,1752
Kentucky,585,584,572,1741
Louisiana,556,553,546,1655
Maine,462,467,451,1380
Maryland,497,500,486,1483
Massachusetts,515,529,509,1553
Michigan,590,610,582,1782
Minnesota,595,608,577,1780
Mississippi,568,547,558,1673
Missouri,596,595,582,1773
Montana,539,540,516,1595
Nebraska,584,583,567,1734
Nevada,492,494,468,1454
New Hampshire,524,528,515,1567
New Jersey,499,522,500,1521
New Mexico,550,545,531,1626
New York,485,501,477,1463
North Carolina,495,506,478,1479
North Dakota,609,609,581,1799
Ohio,548,556,531,1635
Oklahoma,571,569,549,1689
Oregon,520,520,499,1539
Pennsylvania,494,504,482,1480
Rhode Island,491,490,487,1468
South Carolina,484,487,465,1436
South Dakota,592,601,567,1760
Tennessee,574,569,566,1709
Texas,477,499,461,1437
Utah,569,566,549,1684
Vermont,516,519,505,1540
Virginia,516,514,498,1528
Washington,515,523,499,1537
West Virginia,514,501,498,1513
Wisconsin,591,604,576,1771
Wyoming,581,588,588,1757
